marca,desc,cantidad,0,imagen-src
"Estrella Damm","Cerveza Botella","330 cc","$			1.250","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771566a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Corona","Pack Cerveza Extra","6 Botellas 355 cc c/u","$			5.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/309071a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Budweiser","Pack Cerveza","12 Latas 355 cc c/u","$			8.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/807074a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Estrella Damm","Cerveza Voll-Damm Doble Malta Botella","330 Un","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771564a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Estrella Damm","Pack Cerveza Lager Botella","6 Un","$			4.790","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/614950a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Modelo","Cerveza Especial Botella","325 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/622543a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Corona","Pack Cerveza Extra","12 Botellas 355 cc c/u","$			7.090","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/384442a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Cusqueña","Pack Cerveza Premium","6 Botellas 330 cc c/u","$			3.990","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/292441a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Corona","Pack Cerveza Light","6 Botellas 330 cc c/u","$			5.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304229a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Schofferhofer","Cerveza de Pomelo Lata","500 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/740892a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Guinness","Cerveza Original","330 ml","$			1.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/507170a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
