"Heineken","Cerveza
 Pack 6 unid, Lata 350 cc c/u, Nacional","$4.799"
"Volcanes","Pack de Cervezas
 Pack 4 unid, 350 cc c/u, Sabor Chocolate","$4.190"
"Miller","Pack de Cervezas
 Pack 6 unid, 355 cc c/u, Norteamericana","$5.279"
"Kunstmann","Pack de Cervezas
 Pack 6 unid, 330 ml c/u, Torobayo","$7.059"
"Kross","Pack de Cervezas
 Pack 4 unid, 330 cc c/u, Maibock, Nacional","$5.290"
"Kunstmann","Cerveza
 Pack de 4 unid, 330 cc c/u, Chocolate","$4.490"
"Hoegaarden","Pack de Cervezas
 Botella 6 unid, 330 cc c/u, 4,9°,  Blanca","$6.290"
"Kunstmann","Pack de Cervezas
 4 unid","$5.279"
"Escudo","Cerveza
 Pack 6 unid, Lata 355 cc c/u, Nacional","$3.029"
"Austral","Cerveza
 Pack 4 unid, 330 cc c/u, Patagona Pale Ale, Nacional","$5.199"
"Sol","Cerveza
 Pack 12 unid, Botella 330 cc c/u","$8.990"
"Becker","Pack de Cervezas
 Pack 8 unid, 350 cc c/u, Grado 7","$3.890"
"Coopers","Pack de Cervezas
 5,8°, Australiana, Sparkling Ale,  6 unid,  375 cc c/u","$6.594"
"Polar Imperial","Pack de Cervezas
 Nacional,  4 unid,  350 cc c/u","$3.790"
"Becker","Pack de Cervezas
 Pack 24 unid, 350 cc c/u","$9.999"
"Budweiser","Pack de Cervezas
 Pack 6 unid, 355 cc c/u, Importada lata","$3.790"
"Imperial","Pack de Cervezas
 330 cc c/u, 4 unid, Dunkel 4,6°","$4.190"
"Corona","Pack de Cervezas
 Pack 12 unid, 355 cc c/u, Importada","$10.999"
"Carlsberg","Pack de Cervezas
 Lata de 500 cc, 4 unid","$3.990"
"Carlsberg","Pack de Cervezas
 Lata de 330 cc, 6 unid","$4.390"
"Corona","Cerveza
 Pack 18 unid, 355 cc c/u","$16.990"
"Austral","Cerveza
 Pack 4 unid, 330 cc c/u, Lager, Nacional","$3.990"
"Sol","Cerveza
 Pack 12 unid, Lata 269 cc/u, Slim","$7.890"
"Morenita","Pack de Cervezas
 Pack 6 unid, 350 cc c/u, Malta","$3.390"
"Lemon Stones","Cerveza
 Pack 6 unid, Botella 355 cc c/u, Sabor Limón, Nacional...","$3.690"
