marca,desc,cantidad,0,imagen-src
"Del Puerto","Cerveza Lager Porter Stout","330 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/285541a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Volcanes del Sur","Cerveza Premium Lager B","Lata 350 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/479021a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kross","Pack Cerveza Maibock Strong Lager","4 Botellas 330 cc c/u","$			4.390","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/571229a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Grassau","Cerveza Premium Lager","330 cc","$			1.250","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/500819a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Volcanes del Sur","Cerveza Chocolate Naranja Botella","350 cc","$			1.490","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771572a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Szot","Cerveza Amber Ale","330 cc","$			1.290","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/276302a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Grassau","Cerveza Allipen Ale Botella","330 cc","$			1.250","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/756476a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Pack Cerveza Bock","4 Botellas 330 cc c/u","$			5.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/269620a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Guayacán","Cerveza Pale Ale Botella","350 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/660779a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Guayacán","Cerveza Stout Botella","350 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/660781a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Cerveza Arándano","330 cc","$			1.290","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/445204a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Del Puerto","Cerveza Dunkel Weizen Botella","500 cc","$			1.990","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/833869a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Volcanes del Sur","Cerveza Bock Chocolate B","Lata 350 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/479015a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Volcanes del Sur","Cerveza Lúcuma Botella","350 cc","$			1.490","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/771570a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Cerveza Doppel Bock Botella","330 cc","$			2.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/689964a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Quimera","Cerveza Pale Ale Botella","330 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/760132a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
